Time,Temperature
1901-01-01 00:00:00,-0.28059345
1901-02-01 00:00:00,-0.26819772
1901-03-01 00:00:00,-0.20081724
1901-04-01 00:00:00,-0.1753031
1901-05-01 00:00:00,-0.24934465
1901-06-01 00:00:00,-0.23662645
1901-07-01 00:00:00,-0.3289457
1901-08-01 00:00:00,-0.2050631
1901-09-01 00:00:00,-0.35517338
1901-10-01 00:00:00,-0.3407429
1901-11-01 00:00:00,-0.39582872
1901-12-01 00:00:00,-0.48450628
1902-01-01 00:00:00,-0.43956748
1902-02-01 00:00:00,-0.23221202
1902-03-01 00:00:00,-0.47400042
1902-04-01 00:00:00,-0.4305058
1902-05-01 00:00:00,-0.43023685
1902-06-01 00:00:00,-0.44518706
1902-07-01 00:00:00,-0.38915876
1902-08-01 00:00:00,-0.42510903
1902-09-01 00:00:00,-0.37280047
1902-10-01 00:00:00,-0.5005036
1902-11-01 00:00:00,-0.56261593
1902-12-01 00:00:00,-0.565914
1903-01-01 00:00:00,-0.4344225
1903-02-01 00:00:00,-0.24027054
1903-03-01 00:00:00,-0.39843398
1903-04-01 00:00:00,-0.58799607
1903-05-01 00:00:00,-0.5160877
1903-06-01 00:00:00,-0.5476815
1903-07-01 00:00:00,-0.5052094
1903-08-01 00:00:00,-0.60140806
1903-09-01 00:00:00,-0.55975336
1903-10-01 00:00:00,-0.66481555
1903-11-01 00:00:00,-0.62978834
1903-12-01 00:00:00,-0.71404976
1904-01-01 00:00:00,-0.806605
1904-02-01 00:00:00,-0.769914
1904-03-01 00:00:00,-0.6964779
1904-04-01 00:00:00,-0.6468306
1904-05-01 00:00:00,-0.6093934
1904-06-01 00:00:00,-0.5641545
1904-07-01 00:00:00,-0.5530446
1904-08-01 00:00:00,-0.4784086
1904-09-01 00:00:00,-0.59661376
1904-10-01 00:00:00,-0.55304295
1904-11-01 00:00:00,-0.39660597
1904-12-01 00:00:00,-0.49964583
1905-01-01 00:00:00,-0.46341595
1905-02-01 00:00:00,-0.72016865
1905-03-01 00:00:00,-0.52405393
1905-04-01 00:00:00,-0.5589943
1905-05-01 00:00:00,-0.43423653
1905-06-01 00:00:00,-0.34258264
1905-07-01 00:00:00,-0.37310305
1905-08-01 00:00:00,-0.30447677
1905-09-01 00:00:00,-0.34519514
1905-10-01 00:00:00,-0.3351493
1905-11-01 00:00:00,-0.21728525
1905-12-01 00:00:00,-0.27435452
1906-01-01 00:00:00,-0.29668435
1906-02-01 00:00:00,-0.3885811
1906-03-01 00:00:00,-0.289529
1906-04-01 00:00:00,-0.10402012
1906-05-01 00:00:00,-0.3765242
1906-06-01 00:00:00,-0.23253845
1906-07-01 00:00:00,-0.34295923
1906-08-01 00:00:00,-0.27118164
1906-09-01 00:00:00,-0.35302594
1906-10-01 00:00:00,-0.32229662
1906-11-01 00:00:00,-0.53179437
1906-12-01 00:00:00,-0.32053673
1907-01-01 00:00:00,-0.52930236
1907-02-01 00:00:00,-0.6185913
1907-03-01 00:00:00,-0.43793064
1907-04-01 00:00:00,-0.4779983
1907-05-01 00:00:00,-0.6450355
1907-06-01 00:00:00,-0.5440585
1907-07-01 00:00:00,-0.42508972
1907-08-01 00:00:00,-0.4910157
1907-09-01 00:00:00,-0.3986793
1907-10-01 00:00:00,-0.33594123
1907-11-01 00:00:00,-0.55637306
1907-12-01 00:00:00,-0.58987683
1908-01-01 00:00:00,-0.46647665
1908-02-01 00:00:00,-0.4139059
1908-03-01 00:00:00,-0.7040725
1908-04-01 00:00:00,-0.5884082
1908-05-01 00:00:00,-0.45306396
1908-06-01 00:00:00,-0.41279954
1908-07-01 00:00:00,-0.40103948
1908-08-01 00:00:00,-0.48125657
1908-09-01 00:00:00,-0.3872215
1908-10-01 00:00:00,-0.5747282
1908-11-01 00:00:00,-0.6453218
1908-12-01 00:00:00,-0.63815445
1909-01-01 00:00:00,-0.7629406
1909-02-01 00:00:00,-0.53553337
1909-03-01 00:00:00,-0.6521415
1909-04-01 00:00:00,-0.63281554
1909-05-01 00:00:00,-0.5918205
1909-06-01 00:00:00,-0.50006735
1909-07-01 00:00:00,-0.5237631
1909-08-01 00:00:00,-0.3369181
1909-09-01 00:00:00,-0.4156719
1909-10-01 00:00:00,-0.49451607
1909-11-01 00:00:00,-0.38665202
1909-12-01 00:00:00,-0.59633845
1910-01-01 00:00:00,-0.4327842
