Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1911-03,-0.7639851,-0.89808047,-0.62988967
1911-04,-0.64364564,-0.80100137,-0.48628986
1911-05,-0.6272078,-0.805938,-0.44847766
1911-06,-0.55432284,-0.74320203,-0.36544362
1911-07,-0.49260998,-0.6690713,-0.3161486
1911-08,-0.5064451,-0.7171781,-0.29571208
1911-09,-0.4982411,-0.680748,-0.3157342
1911-10,-0.34511527,-0.49507046,-0.19516012
1911-11,-0.34931326,-0.49439368,-0.20423283
1911-12,-0.315495,-0.47613657,-0.1548535
1912-01,-0.32940087,-0.4633201,-0.19548161
1912-02,-0.31491742,-0.43766788,-0.19216692
1912-03,-0.5543457,-0.68546075,-0.4232307
1912-04,-0.33788237,-0.4915007,-0.184264
1912-05,-0.3352509,-0.503716,-0.1667858
1912-06,-0.28508794,-0.4639832,-0.106192656
1912-07,-0.50730854,-0.6681659,-0.34645116
1912-08,-0.57247293,-0.78099567,-0.36395016
1912-09,-0.6437677,-0.80863905,-0.47889635
1912-10,-0.6791174,-0.82347953,-0.53475523
1912-11,-0.55792326,-0.6956708,-0.42017576
1912-12,-0.59060127,-0.74457186,-0.43663067
1913-01,-0.5636491,-0.70592016,-0.42137802
1913-02,-0.55008626,-0.6813429,-0.41882965
1913-03,-0.60579985,-0.7407136,-0.47088605
1913-04,-0.5340449,-0.69886494,-0.36922488
1913-05,-0.54116863,-0.717569,-0.36476827
1913-06,-0.5514844,-0.73894113,-0.36402768
1913-07,-0.47697932,-0.649064,-0.30489463
1913-08,-0.39560005,-0.605102,-0.18609805
1913-09,-0.41690665,-0.5830773,-0.25073597
1913-10,-0.43836418,-0.5882755,-0.28845286
1913-11,-0.36772293,-0.50663286,-0.22881301
1913-12,-0.16402407,-0.3207319,-0.007316216
1914-01,-0.078474745,-0.21613824,0.05918875
1914-02,-0.27010897,-0.4004639,-0.13975406
1914-03,-0.39748344,-0.5322073,-0.26275954
1914-04,-0.4089052,-0.5571737,-0.26063666
1914-05,-0.30789974,-0.47892362,-0.13687588
1914-06,-0.30798316,-0.49093956,-0.12502678
1914-07,-0.2969515,-0.4692706,-0.124632396
1914-08,-0.24459992,-0.4556622,-0.033537664
1914-09,-0.30140656,-0.48765177,-0.11516135
1914-10,-0.110274434,-0.2672808,0.046731923
1914-11,-0.19029672,-0.33736014,-0.04323329
1914-12,-0.23672462,-0.39467424,-0.078774974
1915-01,-0.28745866,-0.43606412,-0.13885316
1915-02,-0.22042616,-0.37010035,-0.070751965
1915-03,-0.19399805,-0.35105386,-0.036942244
1915-04,-0.082622275,-0.24781929,0.08257474
1915-05,-0.16808057,-0.36465895,0.028497813
1915-06,-0.17210917,-0.37255874,0.028340416
1915-07,-0.16903177,-0.36015847,0.02209495
1915-08,-0.06681827,-0.29493347,0.16129693
